gene_id,gene_name
ENSDARG00000068919,rad51c
ENSDARG00000052688,paqr5b
ENSDARG00000038720,zp3f.1
ENSDARG00000022712,stat3
ENSDARG00000042014,cyp11c1
ENSDARG00000070278,mettl14
ENSDARG00000037116,cxcl12a
ENSDARG00000014373,ddx4
ENSDARG00000014357,amh
ENSDARG00000038812,e2f5
ENSDARG00000041959,cxcr4b
ENSDARG00000060542,lgr4
ENSDARG00000099807,mir202
ENSDARG00000053474,tdrkh
ENSDARG00000104936,si:ch211-225h24.2
ENSDARG00000005374,tubgcp4
ENSDARG00000041145,paqr5a
ENSDARG00000071494,fshr
ENSDARG00000053574,fancd2
ENSDARG00000076913,eme1
ENSDARG00000096095,buc
ENSDARG00000005382,prdm9
ENSDARG00000077442,tubgcp5
ENSDARG00000063145,tfam
ENSDARG00000034773,ncapd3
ENSDARG00000077845,si:ch211-67f13.7
ENSDARG00000090664,moto
ENSDARG00000019362,ptbp1a
ENSDARG00000011845,chn2
ENSDARG00000038917,rad50
ENSDARG00000045804,abhd2b
ENSDARG00000007349,dmrt1
ENSDARG00000039067,srd5a2b
ENSDARG00000022660,armc2
ENSDARG00000040556,ift20
ENSDARG00000026081,lhcgr
ENSDARG00000105346,zp2.2
ENSDARG00000035862,insl3
ENSDARG00000040254,hormad1
ENSDARG00000030078,glipr1b
ENSDARG00000037056,zte38
ENSDARG00000039820,mea1
ENSDARG00000035694,stm
ENSDARG00000004874,spata6l
ENSDARG00000030133,fkbp6
ENSDARG00000042129,zp3a.1
ENSDARG00000070447,slc39a9
ENSDARG00000087166,figla
ENSDARG00000078644,spmap2
ENSDARG00000027523,trpc7a
ENSDARG00000078546,cars2
ENSDARG00000019000,smc3
ENSDARG00000030020,agfg1a
ENSDARG00000054172,pgrmc1
ENSDARG00000054313,zp3f.2
ENSDARG00000059252,zpcx
ENSDARG00000014161,ercc4
ENSDARG00000070846,dazap1
ENSDARG00000075301,gsdf
ENSDARG00000099156,katnal1
ENSDARG00000087187,grip2a
ENSDARG00000060169,mns1
ENSDARG00000040131,zfyve26
ENSDARG00000033566,cyp17a1
ENSDARG00000070485,cenps
ENSDARG00000013438,sycp3
ENSDARG00000004898,zp2l2
ENSDARG00000056347,rab3aa
ENSDARG00000012827,mettl3
ENSDARG00000102742,bmpr1bb
ENSDARG00000036793,ttll5
ENSDARG00000003344,trpc2b
ENSDARG00000037491,bmp15
ENSDARG00000062794,trim36
ENSDARG00000114958,zp3
ENSDARG00000003084,spire2
ENSDARG00000092919,zp3c
ENSDARG00000005774,ddx3xb
ENSDARG00000067976,ar
ENSDARG00000003553,gnrhr2
ENSDARG00000013453,tdrd9
ENSDARG00000040303,nbn
ENSDARG00000076391,npm2a
ENSDARG00000019492,shbg
ENSDARG00000029406,h2ax
ENSDARG00000039878,ambra1b
ENSDARG00000051923,ccnb1
ENSDARG00000030237,pgrmc2
ENSDARG00000034624,nuf2
ENSDARG00000043835,rab3ab
ENSDARG00000034434,igf1rb
ENSDARG00000012485,aurka
ENSDARG00000059794,kdm6al
ENSDARG00000075354,espl1
ENSDARG00000022968,fxr1
ENSDARG00000058058,igf3
