Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16
nanos2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
hm13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
snrpd3l,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
mycbp2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem106c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
srpra,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
si:ch211-106h11.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
si:dkey-66i24.8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vegfba,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
apoc2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
her12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ptenb,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
tnfaip3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pdxkb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eurl,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sdad1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chsy1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
adgrl2b.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
arhgef4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dnaja2a,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
rdh14b,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
atg13,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
frmd8,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
si:ch73-236c18.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
agpat4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
msna,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
pik3r3a,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cct5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
eloa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmbr1l,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tjp1a,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
ell2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
cachd1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
sebox,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
si:ch211-162e15.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
camk2d1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
si:ch73-57f22.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pgpep1l,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tbce,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sh3bp4a,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cngb1b,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ttc3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pax6b,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
