Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16
btg2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
dlc,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
hephl1a,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wipf1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:dkey-151g10.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ches1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
psma1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nfe2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
cdk16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
phkg2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kcnip4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
eef2a.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spred2b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bhlhe41,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
def6b,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
cica,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cox6b1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
maip1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-269c21.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-167j6.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ca10b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
thbs3b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
znf1182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
elavl3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
DKEY-238C7.11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nubp2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
setx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:dkeyp-9d4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoxc10a,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
crebzf,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ankrd29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
myo10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shox,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
tefa,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
csnk1g2b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
irx7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-51e8.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sema6d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ptmaa,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
xrn1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
kif1b,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cdc42ep2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ccdc6b,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
htra1a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bmp7a,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
irx3b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mphosph10,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
smek1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smarcd3b,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
vegfab,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
cdc40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coa3a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pdk1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tgif1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
styxl1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ccnyl1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
kdm7ab,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
slc44a2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lsm11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
znhit1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
strn4,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
cndp2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
si:dkey-28e7.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mycb,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
zfyve1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
nkx2.9,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nup58,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
crip3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:dkey-183i3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ebag9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
zp3b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem39a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mynn,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
si:dkey-15f17.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
phf1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
mmp21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efs,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mmp16b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cbx5,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
im:7152348,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
si:ch73-368j24.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch73-103b9.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
atox1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nuf2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hey1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
lysmd1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
march7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zcchc4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ubtf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pdcd10a,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
gdf9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pigu,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
barhl1b,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pcyox1l,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cnih3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
gnrhr1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamts15b,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cep78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marchf5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pde7a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch73-144d13.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryr1b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fbxo5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hook1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mfsd14a1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cnot3a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tshr,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cdc42bpaa,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
pik3c3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
paip2b,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
znf1181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agfg1a,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
oscp1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
srsf2a,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ppil3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cep76,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
plxnb1a,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acsl3b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
iqce,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gtpbp1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cwf19l1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-151m7.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tmem178,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
atrn,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
thap11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
akap12b,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
ehd1b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fzd7b,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
sptlc2b,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
dkk2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddx31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nlrp12l,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dclk2b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glipr1a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mpi,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
slc35f4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
atrnl1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cel.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traf7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
zc3h4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
furina,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
dip2ca,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
klf4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
map4k6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
slc35a3a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ext1a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
afmid,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
mipb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rpgra,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
fbxw9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-222n4.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tpst1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
snrkb,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myca,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ipo4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rerglb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slc3a2b,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edc4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-165d12.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syt2a,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
vamp5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dok1a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
atl3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
sort1b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ap3m2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
si:dkey-86l18.10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ptpn18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vipr1a,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
slc47a1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
nfyal,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
btbd3a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
adssl,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
si:dkey-4c15.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hoxd12a,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
mtmr8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
taar19p,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lrfn4b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch73-127m5.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lgi3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pkmyt1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aadat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
trip13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anapc13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cratb,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
chka,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
spag1a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
emc3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
nudt2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:dkey-100n23.3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
zdhhc16a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
arntl2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
syngr3a,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:dkey-154b15.1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
ascl1a,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
trmt61b,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
phkb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch73-41e3.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
copz2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
LOC100535931,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
ndrg3a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
smyd2b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
osr1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ube2na,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ebp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cpne5a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
actr1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
dmbx1a,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
znf341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-239j9.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clstn1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100334158,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
prpf40a,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lamc1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tbx2b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
snrka,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
nos1apa,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
trim35-7,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
cog8,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
zcchc10,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
nhsl2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
clk4a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tbc1d20,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
zbtb43,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
npc1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
tcof1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cers2a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orc6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
toe1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
itsn2b,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
mroh1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nudt18,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dnajc16l,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ppp1cc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem115,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
morf4l1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-128m15.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sel1l,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nabp1a,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
mtnr1ab,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pqlc1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
klf11b,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
zmiz2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hopx,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gabrb3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lcn15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
si:ch211-246b8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dnmt3ab,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC794134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ccnd1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
si:dkey-274m17.3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
alkal1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
n4bp2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
si:ch211-113a14.24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hprt1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pik3cb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
yrk,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mcm6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
LOC100333499,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
cyp2ad3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
prmt3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
lmo4a,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ubl3b,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
itpkca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem106a,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
prmt5,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
slmapa,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dnaaf1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aspm,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
mad2l1bp,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
nr2f1a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ccdc9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ano9b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
atf1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rnf40,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
khdrbs2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tpm1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ctsba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
h2az2b,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pomgnt1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
entpd8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scmh1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
poc1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zic5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
retreg2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rnf6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
spon1b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ccni,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cyc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nkx2.2a,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
rasa1a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
doc2b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frrs1b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dna2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mgat4b,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kdr,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
espl1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
pck2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tnrc18,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
casp6b.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-197k17.3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
mterf2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
gucy2d,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
il23r,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pabpc1a,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
letm2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slc25a55a,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
med11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dip2a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
si:ch1073-174d20.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slc9a7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
si:ch73-81k8.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
btg3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
cdkn1bb,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
supt7l,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
igf2r,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tspan14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
puf60a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
prozb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tm9sf4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wrap73,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
trim47,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
runx1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
rrbp1a,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gpatch8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rbm8a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taf10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rbmx,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nedd9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gra,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sh2d4bb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss18,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
si:ch211-220f21.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jmjd4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fbxl5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
ankrd13a,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nsmce2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
si:dkeyp-20g2.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gigyf2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
cthrc1a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rfesd,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hao2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
srp9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fn1b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ubl3a,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lclat1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adgrd2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
st6galnac5a,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
