,Gene name,Gene stable ID
156,cdh18a,ENSDARG00000061371
157,MTG2,ENSDARG00000063574
158,PKIG,ENSDARG00000086471
159,mief2,ENSDARG00000002377
160,BOK,ENSDARG00000052129
161,si:ch211-129o18.4,ENSDARG00000098029
162,si:ch73-171a6.2,ENSDARG00000097268
163,SRCIN1,ENSDARG00000059773
164,si:rp71-17i16.6,ENSDARG00000095453
165,si:ch73-267i21.1,ENSDARG00000097673
166,tmeff1b,ENSDARG00000056740
167,tap2t,ENSDARG00000033446
168,si:dkeyp-51g9.4,ENSDARG00000099899
169,alkbh6,ENSDARG00000077253
170,si:ch211-247l22.4,ENSDARG00000096836
171,si:rp71-1l17.2,ENSDARG00000105063
172,TNNT2,ENSDARG00000100694
173,SETBP1,ENSDARG00000093799
174,si:dkeyp-73g8.7,ENSDARG00000092995
175,GOLPH3,ENSDARG00000052851
176,DUSP23,ENSDARG00000009844
177,henmt1,ENSDARG00000018871
178,zgc:109986,ENSDARG00000102608
179,PRKAG1,ENSDARG00000003818
180,haus5,ENSDARG00000019156
181,PIP4P1,ENSDARG00000038615
182,tars3,ENSDARG00000092774
183,si:ch1073-44m10.1,ENSDARG00000092082
184,ecscr,ENSDARG00000087457
185,MED6,ENSDARG00000034734
186,si:ch211-247j9.1,ENSDARG00000079283
187,ak9,ENSDARG00000021913
188,GAB2,ENSDARG00000105120
189,si:dkeyp-30d6.4,ENSDARG00000098157
190,C7H19orf12,ENSDARG00000102929
191,NAV2,ENSDARG00000073688
192,si:dkey-207c17.1,ENSDARG00000103180
193,si:dkey-18a10.3,ENSDARG00000090814
194,ube2l3b,ENSDARG00000027141
195,il12rb1,ENSDARG00000102434
196,si:ch73-160p18.5,ENSDARG00000099967
197,si:ch211-209l18.5,ENSDARG00000095872
198,ACVR1B,ENSDARG00000052142
199,si:ch211-209l18.2,ENSDARG00000093111
200,rbm44,ENSDARG00000069758
201,GPR101,ENSDARG00000039218
202,CHCHD10,ENSDARG00000010717
203,YIPF3,ENSDARG00000020449
204,klf17,ENSDARG00000038792
205,si:ch211-197g22.1,ENSDARG00000095204
206,sinup,ENSDARG00000017163
207,GFRA2,ENSDARG00000044015
208,acp5b,ENSDARG00000101456
209,arap3,ENSDARG00000076801
210,chchd6a,ENSDARG00000003206
211,si:dkey-78a14.6,ENSDARG00000105543
212,ARL8A,ENSDARG00000078686
213,brf1a,ENSDARG00000017835
214,itgb7,ENSDARG00000044318
215,DGKZ,ENSDARG00000076025
216,RTRAF,ENSDARG00000009253
217,ACMSD,ENSDARG00000062549
218,cdkn2a/b,ENSDARG00000037262
219,adgre10,ENSDARG00000075855
220,atoh8,ENSDARG00000037555
221,PDCD7,ENSDARG00000038976
222,QRFPR,ENSDARG00000039349
223,mhc1zba,ENSDARG00000036588
224,PCDH15,ENSDARG00000098257
225,hnrnpa3,ENSDARG00000059351
226,si:ch211-105d1.4,ENSDARG00000105553
227,ITGA8,ENSDARG00000078717
228,cdk5rap2,ENSDARG00000024219
229,SLC15A4,ENSDARG00000102612
230,dok2,ENSDARG00000075818
231,CACNG7,ENSDARG00000063006
232,si:dkey-27l15.1,ENSDARG00000097115
233,P2RY8,ENSDARG00000055560
234,,ENSDARG00000099099
235,SLC24A5,ENSDARG00000024771
236,FST,ENSDARG00000052846
237,SRBD1,ENSDARG00000092855
238,ms4a17a.4,ENSDARG00000014024
239,ABHD14B,ENSDARG00000100531
240,si:ch73-299h12.6,ENSDARG00000101319
241,slc22a15,ENSDARG00000055445
242,si:dkey-26g8.5,ENSDARG00000089750
243,ADGRB1,ENSDARG00000078529
244,si:dkey-103k4.3,ENSDARG00000094550
245,TOR4A,ENSDARG00000091169
246,CIAO2B,ENSDARG00000052010
247,SH3BGRL3,ENSDARG00000098075
248,si:rp71-23d18.8,ENSDARG00000093164
249,si:ch211-212c13.6p,ENSDARG00000093780
250,prr36a,ENSDARG00000069595
251,si:dkey-27b3.4,ENSDARG00000093621
252,ITGB3,ENSDARG00000045070
253,STEAP4,ENSDARG00000055901
254,ccl34b.1,ENSDARG00000093608
255,PLG,ENSDARG00000023111
256,RPL5,ENSDARG00000020197
257,DEPTOR,ENSDARG00000040930
258,GNB5,ENSDARG00000099685
259,nfatc3b,ENSDARG00000051729
260,si:ch211-59d8.3,ENSDARG00000098514
261,ADAMTS9,ENSDARG00000077778
262,MATCAP2,ENSDARG00000057227
263,si:ch211-170i2.2,ENSDARG00000092014
264,b3gntl1,ENSDARG00000043431
265,PHYHD1,ENSDARG00000029905
266,AGTRAP,ENSDARG00000077082
267,ZZZ3,ENSDARG00000077581
268,PARP16,ENSDARG00000018593
269,nlgn4xa,ENSDARG00000079455
270,zgc:113298,ENSDARG00000071648
271,si:dkey-83f18.12p,ENSDARG00000095337
272,si:dkey-79d12.6,ENSDARG00000097225
273,sparcl2,ENSDARG00000097063
274,zgc:113984,ENSDARG00000094616
275,zgc:153911,ENSDARG00000002509
276,PUDP,ENSDARG00000027826
277,igsf9b,ENSDARG00000010408
278,MXD4,ENSDARG00000054031
279,TYW1B,ENSDARG00000062987
280,ambp,ENSDARG00000004296
281,ARPP19,ENSDARG00000039880
282,RPS28,ENSDARG00000035860
283,CHKA,ENSDARG00000041078
284,rps27.1,ENSDARG00000023298
285,cdh28,ENSDARG00000104332
286,TACR3,ENSDARG00000075112
287,si:dkey-103j14.5,ENSDARG00000002219
288,si:zfos-128g4.2,ENSDARG00000098889
289,mrpl42,ENSDARG00000079391
290,ctslb,ENSDARG00000074306
291,si:ch211-125e6.6,ENSDARG00000093010
292,adgre15,ENSDARG00000096588
293,si:dkey-74n13.1,ENSDARG00000105603
294,si:dkeyp-73g8.6,ENSDARG00000093645
295,EBAG9,ENSDARG00000040021
296,f13a1b,ENSDARG00000036893
297,COLEC11,ENSDARG00000013266
298,si:ch211-197n1.2,ENSDARG00000042937
299,si:dkeyp-67e1.2,ENSDARG00000111173
300,si:dkey-163f12.6,ENSDARG00000094473
301,hsd11b1la,ENSDARG00000071377
302,GRM6,ENSDARG00000025671
303,si:dkey-239h2.4,ENSDARG00000092630
304,thy1,ENSDARG00000035018
305,,ENSDARG00000039173
306,arid5b,ENSDARG00000037196
307,MYBL2,ENSDARG00000032264
308,CCSAP,ENSDARG00000025325
309,si:ch1073-322i20.3,ENSDARG00000097542
310,btr06,ENSDARG00000054184
311,AHCYL1,ENSDARG00000056331
312,MIF4GD,ENSDARG00000102080
313,cldna,ENSDARG00000069888
314,drd4a,ENSDARG00000038363
315,ATP1A2,ENSDARG00000010472
316,ccr10,ENSDARG00000040643
317,ARHGAP21,ENSDARG00000075673
318,APMAP,ENSDARG00000017422
319,si:ch211-14c17.4,ENSDARG00000095804
320,si:ch211-14g13.5p,ENSDARG00000077318
321,si:ch211-256a21.4,ENSDARG00000097032
322,si:dkey-242h9.5,ENSDARG00000092535
323,si:dkeyp-93h6.4,ENSDARG00000096638
324,pvrl2l,ENSDARG00000063390
325,HEPH,ENSDARG00000026403
326,IFFO1,ENSDARG00000062108
327,si:dkey-65b12.6,ENSDARG00000076830
328,GRB7,ENSDARG00000042726
329,stx10,ENSDARG00000075030
330,EXT1,ENSDARG00000103155
331,sema3aa,ENSDARG00000019235
332,mbd2,ENSDARG00000075952
333,NUBP1,ENSDARG00000055472
334,DOC2B,ENSDARG00000088293
335,TMC8,ENSDARG00000101050
336,si:ch211-277g23.5,ENSDARG00000097953
337,opn7c,ENSDARG00000030867
338,RPRM,ENSDARG00000053383
339,ANKK1,ENSDARG00000056921
340,TRMT1L,ENSDARG00000042057
341,H3C15,ENSDARG00000105459
342,si:dkey-23a13.20,ENSDARG00000100906
343,lyplal1,ENSDARG00000088764
344,rbm48,ENSDARG00000033754
345,IGBP1C,ENSDARG00000002184
346,,ENSDARG00000093450
347,GSK3A,ENSDARG00000015681
348,si:ch211-267e7.22,ENSDARG00000092078
349,si:ch1073-159d7.4,ENSDARG00000105359
350,GPR158,ENSDARG00000079665
351,pdcd4a,ENSDARG00000021702
352,si:ch211-201m7.7,ENSDARG00000096968
353,DAZAP1,ENSDARG00000070846
354,TRPC4,ENSDARG00000070507
355,zc3h11a,ENSDARG00000009754
356,brsk1a,ENSDARG00000077124
357,si:dkey-161f11.2,ENSDARG00000101124
358,olfce1,ENSDARG00000067828
359,NF1,ENSDARG00000004184
360,DCAF12,ENSDARG00000063155
361,si:ch73-94k4.4,ENSDARG00000096606
362,map4k6,ENSDARG00000033444
363,znf1021,ENSDARG00000088861
364,ATP8B4,ENSDARG00000079453
365,rnf169,ENSDARG00000042825
366,,ENSDARG00000100423
367,AIMP1,ENSDARG00000060036
368,creb3l3l,ENSDARG00000020926
369,si:dkeyp-97a10.3,ENSDARG00000104656
370,si:dkey-25c4.1,ENSDARG00000091901
371,CD82,ENSDARG00000019098
372,fbxo15,ENSDARG00000016897
373,PSMB7,ENSDARG00000037962
374,si:dkey-117j14.7,ENSDARG00000096996
375,COL8A1,ENSDARG00000003533
376,DNMT3A,ENSDARG00000015566
377,si:dkey-108k21.23,ENSDARG00000115281
378,zgc:194989,ENSDARG00000114405
379,sla2b,ENSDARG00000020788
380,asic1c,ENSDARG00000098428
381,si:zfos-1537b9.2,ENSDARG00000097460
382,MATN3,ENSDARG00000069245
383,LRRC4B,ENSDARG00000004597
384,ATG3,ENSDARG00000009350
385,SH3GLB1,ENSDARG00000010956
386,si:dkeyp-85h7.1,ENSDARG00000098260
387,pcdha8l,ENSDARG00000099535
388,si:ch211-113d22.2,ENSDARG00000100139
389,pagr1,ENSDARG00000076966
390,EIF4H,ENSDARG00000042252
391,SKI,ENSDARG00000042151
392,zfand5a,ENSDARG00000018898
393,zgc:112496,ENSDARG00000004274
394,mdh1b,ENSDARG00000018008
395,btbd8,ENSDARG00000103802
396,ZNF507,ENSDARG00000052164
397,JOSD1,ENSDARG00000071548
398,zgc:162025,ENSDARG00000046141
399,CD81,ENSDARG00000036080
400,RNF141,ENSDARG00000041802
401,si:ch211-260g14.9,ENSDARG00000096747
402,mydgf,ENSDARG00000071679
403,PKP3,ENSDARG00000079438
404,TNFAIP8L1,ENSDARG00000086457
405,MARCHF5,ENSDARG00000032552
406,si:ch211-137o16.8,ENSDARG00000097736
407,pcdh20l,ENSDARG00000101910
408,ihhb,ENSDARG00000058815
409,BMI1,ENSDARG00000013076
410,CCDC90B,ENSDARG00000044626
411,RPL5,ENSDARG00000015862
412,si:dkeyp-98a7.2p,ENSDARG00000096017
413,G3BP2,ENSDARG00000014790
414,timm23a,ENSDARG00000071396
415,NYX,ENSDARG00000061791
416,zgc:153631,ENSDARG00000068993
417,RPAP1,ENSDARG00000075072
418,si:dkeyp-98f5.2,ENSDARG00000097687
419,NUTF2,ENSDARG00000056531
420,IFT46,ENSDARG00000011240
421,NAA60,ENSDARG00000061185
422,si:dkey-51d8.2,ENSDARG00000095132
423,prune2,ENSDARG00000059423
424,tap2a,ENSDARG00000036787
425,si:ch211-162k9.6,ENSDARG00000079221
426,CEBPZ,ENSDARG00000045857
427,si:ch211-153i8.1,ENSDARG00000094301
428,traj25,ENSDARG00000114873
429,traj59,ENSDARG00000103707
430,si:dkey-221l4.12,ENSDARG00000097437
431,YARS2,ENSDARG00000077299
432,traj49,ENSDARG00000115333
433,traj29,ENSDARG00000115584
434,NDUFAF7,ENSDARG00000033134
435,BTK,ENSDARG00000004433
436,itpkca,ENSDARG00000002994
437,DDX59,ENSDARG00000022177
438,ponzr6,ENSDARG00000036382
439,TMC2,ENSDARG00000030311
440,CHRNA5,ENSDARG00000003420
441,TIMM17B,ENSDARG00000060124
442,YEATS4,ENSDARG00000045874
443,tsc22d3,ENSDARG00000075666
444,FMOD,ENSDARG00000044895
445,GYPC,ENSDARG00000041546
446,ZCRB1,ENSDARG00000045691
447,PCDH11X,ENSDARG00000098652
448,znf1182,ENSDARG00000100468
449,si:dkey-279j5.1,ENSDARG00000101459
450,UTP4,ENSDARG00000017675
451,si:ch211-198e20.10,ENSDARG00000089513
452,OST4,ENSDARG00000096118
453,MFRP,ENSDARG00000087814
454,ARSG,ENSDARG00000101715
455,si:ch211-163g19.2,ENSDARG00000095555
456,TBCC,ENSDARG00000022918
457,si:ch211-51n3.1,ENSDARG00000094135
458,dalrd3,ENSDARG00000068602
459,ADIPOR1,ENSDARG00000002912
