Gene ID,Median log RPKM,Z-score
ENSDARG00000000001,-0.0376998099789496,0.7070825517448414
ENSDARG00000000002,-0.45872885661016,-0.050844105231803785
ENSDARG00000000018,0.1383284299222486,1.0239644782278396
ENSDARG00000000019,0.2164035238913121,1.164513439014725
ENSDARG00000000068,-0.3690442123659233,0.11060409682945323
ENSDARG00000000069,0.1668538460167691,1.0753152660947998
ENSDARG00000000086,-0.3720980596444029,0.1051066322786934
ENSDARG00000000103,-0.0332746727117547,0.715048580507996
ENSDARG00000000142,-0.2460634962535994,0.33199110986670977
ENSDARG00000000151,-0.7214141180471718,-0.5237239780838628
ENSDARG00000000161,-0.909883572390233,-0.863002288251311
ENSDARG00000000175,-0.352974854343867,0.13953177985481507
ENSDARG00000000183,-0.3173619262271681,0.20364134134139375
ENSDARG00000000189,-0.7984305831040257,-0.6623672198263502
ENSDARG00000000212,0.043173785235693,0.8526693091174445
ENSDARG00000000229,-0.3545274648522027,0.1367368066775833
ENSDARG00000000241,0.7386892303523542,2.1047199702554105
ENSDARG00000000324,0.0232098299988315,0.8167306631409363
ENSDARG00000000349,-0.616167472940001,-0.33426142550620846
ENSDARG00000000369,-0.8069475716142513,-0.6776993036355656
ENSDARG00000000370,-0.8145586753690577,-0.6914006348642295
ENSDARG00000000380,-0.9252157142870634,-0.8906028520250856
ENSDARG00000000394,0.5575456061709457,1.7786294484565484
ENSDARG00000000423,-0.3425362549281354,0.15832310273856345
ENSDARG00000000442,0.0612771881207967,0.8852586322019077
ENSDARG00000000460,-0.3357658835091506,0.17051096725085713
ENSDARG00000000472,-0.962016355348107,-0.9568505066160661
ENSDARG00000000474,-0.9851246198858998,-0.9984494647634894
ENSDARG00000000476,-0.8502399444410356,-0.7556332221424575
ENSDARG00000000489,0.4672103599993654,1.616010047999932
ENSDARG00000000503,-0.9319057570554196,-0.9026461107765237
ENSDARG00000000516,-0.9470561312805076,-0.9299194606326542
ENSDARG00000000529,-0.4697130230435865,-0.0706175451195611
ENSDARG00000000540,0.247670245722052,1.220799061447205
ENSDARG00000000542,-0.3509704281896791,0.1431401010059467
ENSDARG00000000551,-0.5660210997617324,-0.2439890956358186
ENSDARG00000000563,-0.4642575314196233,-0.06079669650638611
ENSDARG00000000567,-0.2502677658996166,0.3244226818370272
ENSDARG00000000568,-0.1529919009850471,0.4995364220626309
ENSDARG00000000588,-0.3015104120596982,0.2321768669472838
ENSDARG00000000606,-0.9761940568607936,-0.9823728737712607
ENSDARG00000000631,-0.1330683213444732,0.5354023848336392
ENSDARG00000000638,-0.9179722763492456,-0.8775633842136478
ENSDARG00000000651,-0.4468011819017302,-0.029372183782204346
ENSDARG00000000656,0.5817211730191608,1.8221497392972728
ENSDARG00000000666,0.6839224714527486,2.0061301299145775
ENSDARG00000000690,-0.0352608772785546,0.7114730614329309
ENSDARG00000000729,-0.1242886147661978,0.5512074075734049
ENSDARG00000000730,0.0068590216912361,0.7872963198845747
ENSDARG00000000747,-0.5074350204648981,-0.13852380391281593
ENSDARG00000000760,-0.0037904090064036,0.7681254634509175
ENSDARG00000000767,-0.0255696302424968,0.7289190180165581
ENSDARG00000000779,-0.0036089892527134,0.7684520510546093
ENSDARG00000000796,-0.3167307750991512,0.20477752486206158
ENSDARG00000000804,-0.7827260769072873,-0.6340963345361271
ENSDARG00000000830,-0.4713659312600214,-0.07359307188854695
ENSDARG00000000837,-0.3252910320747905,0.18936755017190599
ENSDARG00000000853,-0.202562944587916,0.41029978705755143
ENSDARG00000000857,0.0520897899818968,0.8687196926359892
ENSDARG00000000861,-0.0405189702507684,0.7020075652625605
ENSDARG00000000887,-0.5316367389949146,-0.1820911724003691
ENSDARG00000000906,-0.6625389825777079,-0.41773833418954914
ENSDARG00000000935,-0.4912858459451758,-0.109452437092401
ENSDARG00000000943,-0.7558426824930051,-0.5857014757499374
