Gene ID,Median RPKM,Mean RPKM,Sample variance RPKM,Difference RPKM,Median log RPKM,Mean log RPKM,Sample variance log RPKM,Difference log RPKM
ENSDARG00000008788,0.0952368046561603,1.366169275177113,40.247979025543664,37.73032588406571,-0.7094383088394937,-0.5278023969204219,0.2646964095280482,2.5778400824780965
ENSDARG00000008790,0.0334428650432635,0.13574625544645297,0.048849046147598746,1.0348956556346531,-0.8747046422225062,-0.7406102057757883,0.08229515872224485,1.054955933542137
ENSDARG00000008796,0.0,0.09117948608253008,0.08206168193755295,1.6797351061791903,-1.0,-0.8477601601602572,0.06555006041346852,1.2503553672046241
ENSDARG00000008803,11.461101151114349,36.17761327619761,2969.708685233217,247.84422029304105,1.0629992009597242,0.8015878867261989,1.111856718596401,3.3433468659257457
ENSDARG00000008805,0.1236437983752044,0.6222876946921839,1.739508013074989,7.018394774102413,-0.6504431402758988,-0.4811606729997266,0.226083045254295,1.8523820695711812
ENSDARG00000008807,0.1112567823649134,1.3912101857008912,12.982298563720162,19.05938005377984,-0.6751893392001751,-0.4031966892604523,0.37741741633401793,2.282381452363696
ENSDARG00000008808,0.4257655550760825,1.547611205728753,10.01480537961916,18.46389807614805,-0.2792078695997491,-0.14890966828122823,0.302110094130392,2.2390568521488796
ENSDARG00000008811,0.4931680773698587,1.0291987776740261,2.4588993518493085,6.739195493884909,-0.2268222295168304,-0.21477661682391092,0.2220517891927948,1.8201969294984734
ENSDARG00000008816,2.782221348060319,3.4748439394358464,6.859153385502461,11.23592853897769,0.4597273305896255,0.4285243768008633,0.12615376553423685,1.4404624461229072
ENSDARG00000008818,1.386123635266344,2.07893559113818,5.402204681904046,9.343244495998782,0.1720549412417768,0.14095269829905485,0.18107011278557664,1.6891866455938285
ENSDARG00000008829,0.0041716963580413,0.9090673838745539,6.679299589404344,11.63241952783186,-0.982250263620606,-0.6560420630186105,0.3613768071237778,2.0693875840873086
ENSDARG00000008832,0.9370196377695392,1.4639885350856285,4.236435218253018,10.958207447106249,0.0157869805878795,0.010300923785279028,0.1381727451245454,1.6509083481306848
ENSDARG00000008840,0.8350313269943299,1.1522443930583162,1.0162698041947773,3.7771316573409033,-0.0291738384185427,-0.03399882056589764,0.12274325714433786,1.376576701598243
ENSDARG00000008852,0.043177418398705,0.05691889534962492,0.0028408107113107577,0.2839732211763442,-0.8441254725181613,-0.821323733274882,0.01302607076871515,0.5542297910682278
ENSDARG00000008858,0.2069945136257657,0.292324172655607,0.12408937841254374,1.730454992626739,-0.5128693858366454,-0.5042361842365654,0.07462953833702968,1.2625590548814913
ENSDARG00000008859,1.4748748644623086,2.7231954801582723,45.9077214254654,40.973931750300075,0.1972460515652787,0.11123400777234159,0.2513454117150471,2.545055205885182
ENSDARG00000008861,0.0039984954676598,0.04789318101896305,0.011357863894809509,0.4271487220301113,-0.9829729435360228,-0.891313804015443,0.04093096238275314,0.7219331579925046
ENSDARG00000008866,0.0,0.04394490951854844,0.05898924284317661,1.4394847482974662,-1.0,-0.9544672764999452,0.039865839963723206,1.1873753906974431
ENSDARG00000008867,1.0051067490543966,1.093833267750397,0.6892588948238098,2.910379540517389,0.0434042312211989,-0.06130122580899786,0.1527837781625341,1.3399138741490022
ENSDARG00000008884,3.4194225567090952,8.375731551461891,148.69929854859066,52.40138048122469,0.5464714131920758,0.6506453141417267,0.2052774082982431,1.6596459884832213
ENSDARG00000008890,0.3177885559011026,0.6139717942933713,1.2806280629734468,6.767466734308701,-0.3790434604233781,-0.3303549519339501,0.12075381274894663,1.8367965643953066
ENSDARG00000008904,0.6687308872550137,0.6359400708503236,0.11416835051273694,1.2894178418910998,-0.1142256688267616,-0.19007468275901257,0.05987354499206819,0.9651665975655632
ENSDARG00000008920,0.5367880856472685,0.6403982451437088,0.3371911884545124,2.6253340926626403,-0.1960050708766256,-0.28138715300910283,0.15826714757039195,1.435419749073598
ENSDARG00000008931,0.4276421032250975,0.8805701658268517,3.4207742783161543,9.413248059725104,-0.2776605571954663,-0.29200120252771433,0.18702409119546576,1.9215411452590443
ENSDARG00000008936,2.7449995498760598,3.5082845159697973,6.016419509118943,9.881114171105594,0.4540822020188372,0.4630932905394985,0.09012710997782125,1.2918061629575006
ENSDARG00000008946,1.073451381470641,1.2212160618509782,1.7057430326965426,6.614442933442424,0.0694651005844392,-0.1167987013653072,0.27418341157840065,1.8270099870765613
ENSDARG00000008947,5.0544948295523335,5.452219864887806,15.114399248627459,15.954105276989461,0.7121861083220818,0.5772515625945848,0.21185046079627604,1.5971313342843145
ENSDARG00000008948,0.0379075888120232,0.17128505628157223,0.05211717961205525,0.8621734020342539,-0.860411834705196,-0.6903601567284812,0.10156279978745959,0.9832533472564097
