Gene ID,Majority detection flag
ENSSSCG00000000411,present
ENSSSCG00000000413,absent
ENSSSCG00000000415,absent
ENSSSCG00000000418,absent
ENSSSCG00000000419,present
ENSSSCG00000000431,present
ENSSSCG00000000433,present
ENSSSCG00000000435,present
ENSSSCG00000000436,present
ENSSSCG00000000437,absent
ENSSSCG00000000439,present
ENSSSCG00000000442,absent
ENSSSCG00000000443,absent
ENSSSCG00000000444,present
ENSSSCG00000000449,present
ENSSSCG00000000453,present
ENSSSCG00000000455,present
ENSSSCG00000000456,present
ENSSSCG00000000457,present
ENSSSCG00000000458,present
ENSSSCG00000000462,present
ENSSSCG00000000464,absent
ENSSSCG00000000466,present
ENSSSCG00000000469,present
ENSSSCG00000000473,present
ENSSSCG00000000475,present
ENSSSCG00000000477,present
ENSSSCG00000000478,present
ENSSSCG00000000482,absent
ENSSSCG00000000483,present
ENSSSCG00000000486,present
ENSSSCG00000000487,present
ENSSSCG00000000488,present
ENSSSCG00000000492,present
ENSSSCG00000000493,present
ENSSSCG00000000496,present
ENSSSCG00000000499,absent
ENSSSCG00000000500,present
ENSSSCG00000000502,present
ENSSSCG00000000504,present
ENSSSCG00000000509,present
ENSSSCG00000000510,present
ENSSSCG00000000512,present
ENSSSCG00000000515,absent
ENSSSCG00000000516,absent
ENSSSCG00000000517,present
ENSSSCG00000000519,present
ENSSSCG00000000521,present
ENSSSCG00000000522,present
ENSSSCG00000000523,present
ENSSSCG00000000527,absent
ENSSSCG00000000528,present
ENSSSCG00000000530,present
ENSSSCG00000000531,present
ENSSSCG00000000534,present
ENSSSCG00000000536,present
ENSSSCG00000000540,absent
ENSSSCG00000000541,present
ENSSSCG00000000545,present
ENSSSCG00000000546,present
ENSSSCG00000000547,present
ENSSSCG00000000549,present
ENSSSCG00000000550,absent
ENSSSCG00000000551,present
ENSSSCG00000000553,present
ENSSSCG00000000554,present
ENSSSCG00000000555,present
ENSSSCG00000000559,present
ENSSSCG00000000563,present
ENSSSCG00000000567,present
ENSSSCG00000000570,present
ENSSSCG00000000571,present
ENSSSCG00000000573,present
ENSSSCG00000000576,present
ENSSSCG00000000577,absent
ENSSSCG00000000579,present
ENSSSCG00000000580,present
ENSSSCG00000000582,absent
ENSSSCG00000000583,present
ENSSSCG00000000584,absent
ENSSSCG00000000585,absent
ENSSSCG00000000587,present
ENSSSCG00000000588,present
ENSSSCG00000000589,absent
ENSSSCG00000000590,absent
ENSSSCG00000000591,absent
ENSSSCG00000000598,absent
ENSSSCG00000000599,present
ENSSSCG00000000600,present
ENSSSCG00000000601,present
ENSSSCG00000000602,present
ENSSSCG00000000605,absent
ENSSSCG00000000607,present
ENSSSCG00000000610,absent
ENSSSCG00000000611,present
ENSSSCG00000000612,present
ENSSSCG00000000614,absent
ENSSSCG00000000619,present
ENSSSCG00000000623,absent
ENSSSCG00000000625,present
ENSSSCG00000000629,absent
ENSSSCG00000000631,absent
ENSSSCG00000000633,present
ENSSSCG00000000634,absent
ENSSSCG00000000635,present
ENSSSCG00000000636,present
ENSSSCG00000000638,absent
ENSSSCG00000000639,absent
ENSSSCG00000000640,present
ENSSSCG00000000642,absent
ENSSSCG00000000645,present
ENSSSCG00000000647,present
ENSSSCG00000000648,present
ENSSSCG00000000649,present
ENSSSCG00000000650,absent
ENSSSCG00000000651,absent
ENSSSCG00000000653,present
ENSSSCG00000000656,present
ENSSSCG00000000657,present
ENSSSCG00000000659,absent
ENSSSCG00000000660,present
ENSSSCG00000000661,present
ENSSSCG00000000663,present
ENSSSCG00000000664,absent
ENSSSCG00000000665,present
ENSSSCG00000000667,absent
ENSSSCG00000000668,absent
ENSSSCG00000000669,absent
ENSSSCG00000000672,present
ENSSSCG00000000679,absent
ENSSSCG00000000680,absent
ENSSSCG00000000681,present
ENSSSCG00000000682,absent
ENSSSCG00000000683,absent
ENSSSCG00000000684,present
ENSSSCG00000000685,present
ENSSSCG00000000687,absent
ENSSSCG00000000688,absent
ENSSSCG00000000690,present
ENSSSCG00000000691,present
ENSSSCG00000000692,absent
ENSSSCG00000000693,present
ENSSSCG00000000694,present
ENSSSCG00000000695,present
ENSSSCG00000000696,present
ENSSSCG00000000697,present
ENSSSCG00000000699,absent
ENSSSCG00000000700,present
ENSSSCG00000000702,present
ENSSSCG00000000703,present
ENSSSCG00000000704,present
ENSSSCG00000000705,present
ENSSSCG00000000706,present
ENSSSCG00000000707,absent
ENSSSCG00000000708,present
ENSSSCG00000000709,absent
ENSSSCG00000000712,present
ENSSSCG00000000716,absent
ENSSSCG00000000718,absent
ENSSSCG00000000719,present
ENSSSCG00000000720,present
ENSSSCG00000000721,absent
ENSSSCG00000000722,present
ENSSSCG00000000723,present
ENSSSCG00000000728,present
ENSSSCG00000000730,absent
ENSSSCG00000000732,present
ENSSSCG00000000734,present
ENSSSCG00000000735,present
ENSSSCG00000000736,absent
ENSSSCG00000000737,present
ENSSSCG00000000738,present
ENSSSCG00000000739,absent
ENSSSCG00000000740,absent
ENSSSCG00000000741,absent
ENSSSCG00000000742,present
ENSSSCG00000000743,present
ENSSSCG00000000744,present
ENSSSCG00000000745,present
ENSSSCG00000000746,present
ENSSSCG00000000748,absent
ENSSSCG00000000749,absent
ENSSSCG00000000751,present
ENSSSCG00000000753,present
ENSSSCG00000000754,present
ENSSSCG00000000755,present
ENSSSCG00000000757,present
ENSSSCG00000000759,absent
ENSSSCG00000000760,absent
ENSSSCG00000000764,present
ENSSSCG00000000765,present
ENSSSCG00000000766,present
ENSSSCG00000000767,present
ENSSSCG00000000769,present
ENSSSCG00000000770,present
ENSSSCG00000000774,present
ENSSSCG00000000777,absent
ENSSSCG00000000778,present
ENSSSCG00000000779,present
ENSSSCG00000000781,present
ENSSSCG00000000782,absent
ENSSSCG00000000783,present
ENSSSCG00000000784,present
ENSSSCG00000000789,present
ENSSSCG00000000791,present
ENSSSCG00000000793,present
ENSSSCG00000000795,present
ENSSSCG00000000798,present
ENSSSCG00000000799,present
ENSSSCG00000000800,present
ENSSSCG00000000801,present
ENSSSCG00000000802,present
ENSSSCG00000000804,present
ENSSSCG00000000806,present
ENSSSCG00000000807,present
ENSSSCG00000000808,present
ENSSSCG00000000810,present
ENSSSCG00000000811,present
ENSSSCG00000000816,present
ENSSSCG00000000820,absent
ENSSSCG00000000837,present
ENSSSCG00000000838,present
ENSSSCG00000000839,present
ENSSSCG00000000840,present
ENSSSCG00000000841,present
ENSSSCG00000000842,present
ENSSSCG00000000843,present
ENSSSCG00000000844,present
ENSSSCG00000000846,present
ENSSSCG00000000847,present
ENSSSCG00000000848,present
ENSSSCG00000000849,present
ENSSSCG00000000853,present
ENSSSCG00000000854,absent
ENSSSCG00000000856,absent
ENSSSCG00000000857,present
ENSSSCG00000000858,absent
ENSSSCG00000000859,present
ENSSSCG00000000860,present
ENSSSCG00000000862,present
ENSSSCG00000000863,present
ENSSSCG00000000864,present
ENSSSCG00000000866,absent
ENSSSCG00000000867,present
ENSSSCG00000000869,present
ENSSSCG00000000870,present
ENSSSCG00000000871,absent
ENSSSCG00000000873,absent
ENSSSCG00000000874,present
ENSSSCG00000000875,absent
ENSSSCG00000000877,present
ENSSSCG00000000883,absent
ENSSSCG00000000884,present
ENSSSCG00000000886,present
ENSSSCG00000000887,present
ENSSSCG00000000890,present
ENSSSCG00000000891,present
ENSSSCG00000000892,absent
ENSSSCG00000000893,absent
ENSSSCG00000000894,absent
ENSSSCG00000000895,present
ENSSSCG00000000896,present
ENSSSCG00000000900,present
ENSSSCG00000000901,present
ENSSSCG00000000902,present
ENSSSCG00000000905,present
ENSSSCG00000000906,present
ENSSSCG00000000907,present
ENSSSCG00000000908,present
ENSSSCG00000000910,present
ENSSSCG00000000915,present
ENSSSCG00000000916,present
ENSSSCG00000000917,absent
ENSSSCG00000000918,absent
ENSSSCG00000000920,present
ENSSSCG00000000924,absent
ENSSSCG00000000925,present
ENSSSCG00000000926,present
ENSSSCG00000000927,present
ENSSSCG00000000932,present
ENSSSCG00000000934,absent
ENSSSCG00000000936,absent
ENSSSCG00000000937,absent
ENSSSCG00000000939,present
ENSSSCG00000000940,present
ENSSSCG00000000941,present
ENSSSCG00000000943,absent
ENSSSCG00000000948,present
ENSSSCG00000000950,absent
ENSSSCG00000000951,present
ENSSSCG00000000952,present
ENSSSCG00000000955,present
ENSSSCG00000000958,present
ENSSSCG00000000959,present
ENSSSCG00000000960,absent
ENSSSCG00000000963,absent
ENSSSCG00000000964,present
ENSSSCG00000000965,present
ENSSSCG00000000967,absent
ENSSSCG00000000968,present
ENSSSCG00000000970,present
ENSSSCG00000000971,present
ENSSSCG00000000972,present
ENSSSCG00000000973,present
ENSSSCG00000000974,present
ENSSSCG00000000975,absent
ENSSSCG00000000978,absent
ENSSSCG00000000980,present
ENSSSCG00000000981,present
ENSSSCG00000000982,absent
ENSSSCG00000000983,absent
ENSSSCG00000000985,present
ENSSSCG00000000991,absent
ENSSSCG00000000994,present
ENSSSCG00000000997,absent
ENSSSCG00000000998,present
ENSSSCG00000000999,present
ENSSSCG00000001000,present
ENSSSCG00000001001,absent
ENSSSCG00000001002,present
ENSSSCG00000001004,present
ENSSSCG00000001005,absent
ENSSSCG00000001008,present
ENSSSCG00000001009,present
ENSSSCG00000001010,present
ENSSSCG00000001011,present
ENSSSCG00000001021,present
ENSSSCG00000001022,present
ENSSSCG00000001024,present
ENSSSCG00000001025,present
ENSSSCG00000001027,absent
ENSSSCG00000001033,present
ENSSSCG00000001036,absent
ENSSSCG00000001038,present
ENSSSCG00000001040,present
ENSSSCG00000001041,present
ENSSSCG00000001042,absent
ENSSSCG00000001045,absent
ENSSSCG00000001048,absent
ENSSSCG00000001049,present
ENSSSCG00000001052,present
ENSSSCG00000001053,present
ENSSSCG00000001056,present
ENSSSCG00000001057,present
ENSSSCG00000001060,absent
ENSSSCG00000001061,present
ENSSSCG00000001062,present
ENSSSCG00000001063,present
ENSSSCG00000001064,present
ENSSSCG00000001065,present
ENSSSCG00000001067,absent
ENSSSCG00000001068,present
ENSSSCG00000001070,present
ENSSSCG00000001072,absent
ENSSSCG00000001073,present
ENSSSCG00000001074,present
ENSSSCG00000001075,present
ENSSSCG00000001076,present
ENSSSCG00000001078,present
ENSSSCG00000001080,present
ENSSSCG00000001083,absent
ENSSSCG00000001085,present
ENSSSCG00000001087,present
ENSSSCG00000001088,present
ENSSSCG00000001089,absent
ENSSSCG00000001090,present
ENSSSCG00000001091,absent
ENSSSCG00000001092,present
ENSSSCG00000001095,present
ENSSSCG00000001096,absent
ENSSSCG00000001097,present
ENSSSCG00000001098,absent
ENSSSCG00000001099,present
ENSSSCG00000001100,present
ENSSSCG00000001101,absent
ENSSSCG00000001105,absent
ENSSSCG00000001107,absent
ENSSSCG00000001131,present
ENSSSCG00000001132,absent
ENSSSCG00000001137,present
ENSSSCG00000001156,present
ENSSSCG00000001164,present
ENSSSCG00000001197,present
ENSSSCG00000001201,present
ENSSSCG00000001202,present
ENSSSCG00000001203,absent
ENSSSCG00000001204,present
ENSSSCG00000001205,present
ENSSSCG00000001206,present
ENSSSCG00000001207,present
ENSSSCG00000001209,present
ENSSSCG00000001213,absent
ENSSSCG00000001214,absent
ENSSSCG00000001216,present
ENSSSCG00000001219,present
ENSSSCG00000001229,present
ENSSSCG00000001232,absent
ENSSSCG00000001233,present
ENSSSCG00000001234,absent
ENSSSCG00000001235,absent
ENSSSCG00000001236,absent
ENSSSCG00000001242,present
ENSSSCG00000001245,present
ENSSSCG00000001247,present
ENSSSCG00000001248,absent
ENSSSCG00000001252,present
ENSSSCG00000001253,absent
ENSSSCG00000001256,absent
ENSSSCG00000001341,present
ENSSSCG00000001342,present
ENSSSCG00000001346,present
ENSSSCG00000001347,present
ENSSSCG00000001362,present
ENSSSCG00000001372,present
ENSSSCG00000001376,present
ENSSSCG00000001379,present
ENSSSCG00000001382,present
ENSSSCG00000001384,present
ENSSSCG00000001388,absent
ENSSSCG00000001391,present
ENSSSCG00000001392,absent
ENSSSCG00000001393,absent
ENSSSCG00000001394,present
ENSSSCG00000001395,present
ENSSSCG00000001396,present
ENSSSCG00000001398,present
ENSSSCG00000001400,present
ENSSSCG00000001401,present
ENSSSCG00000001402,present
ENSSSCG00000001403,absent
ENSSSCG00000001404,absent
ENSSSCG00000001407,present
ENSSSCG00000001409,present
ENSSSCG00000001410,present
ENSSSCG00000001411,present
ENSSSCG00000001413,present
ENSSSCG00000001414,present
ENSSSCG00000001416,absent
ENSSSCG00000001418,present
ENSSSCG00000001419,absent
ENSSSCG00000001420,present
ENSSSCG00000001421,present
ENSSSCG00000001422,present
ENSSSCG00000001423,present
ENSSSCG00000001424,present
ENSSSCG00000001425,present
ENSSSCG00000001426,present
ENSSSCG00000001427,present
ENSSSCG00000001428,absent
ENSSSCG00000001430,present
ENSSSCG00000001431,present
ENSSSCG00000001433,present
ENSSSCG00000001434,present
ENSSSCG00000001435,present
ENSSSCG00000001436,present
ENSSSCG00000001437,absent
ENSSSCG00000001438,present
ENSSSCG00000001439,present
ENSSSCG00000001440,present
ENSSSCG00000001441,absent
ENSSSCG00000001444,absent
ENSSSCG00000001447,absent
ENSSSCG00000001453,present
ENSSSCG00000001455,present
ENSSSCG00000001456,present
ENSSSCG00000001457,present
ENSSSCG00000001458,absent
ENSSSCG00000001459,present
ENSSSCG00000001463,present
ENSSSCG00000001469,present
ENSSSCG00000001470,present
ENSSSCG00000001471,present
ENSSSCG00000001472,absent
ENSSSCG00000001473,absent
ENSSSCG00000001474,present
ENSSSCG00000001475,present
ENSSSCG00000001476,present
ENSSSCG00000001477,present
ENSSSCG00000001478,present
ENSSSCG00000001479,absent
ENSSSCG00000001480,absent
ENSSSCG00000001481,absent
ENSSSCG00000001483,absent
ENSSSCG00000001484,absent
ENSSSCG00000001485,absent
ENSSSCG00000001486,present
ENSSSCG00000001487,absent
ENSSSCG00000001488,present
ENSSSCG00000001490,absent
ENSSSCG00000001493,present
ENSSSCG00000001497,present
