Gene ID,Majority detection flag
ENSG00000011260,present
ENSG00000011275,present
ENSG00000011295,present
ENSG00000011304,present
ENSG00000011332,present
ENSG00000011347,present
ENSG00000011376,present
ENSG00000011405,present
ENSG00000011422,present
ENSG00000011426,present
ENSG00000011451,present
ENSG00000011454,present
ENSG00000011465,present
ENSG00000011478,present
ENSG00000011485,present
ENSG00000011523,present
ENSG00000011566,present
ENSG00000011590,present
ENSG00000011600,present
ENSG00000011638,present
ENSG00000011677,present
ENSG00000012048,present
ENSG00000012061,present
ENSG00000012124,present
ENSG00000012171,present
ENSG00000012174,present
ENSG00000012211,present
ENSG00000012223,present
ENSG00000012232,present
ENSG00000012504,present
ENSG00000012660,present
ENSG00000012779,present
ENSG00000012817,present
ENSG00000012822,present
ENSG00000012963,present
ENSG00000012983,present
ENSG00000013016,present
ENSG00000013275,present
ENSG00000013288,present
ENSG00000013293,absent
ENSG00000013297,present
ENSG00000013306,present
ENSG00000013364,present
ENSG00000013374,present
ENSG00000013375,present
ENSG00000013392,present
ENSG00000013441,present
ENSG00000013503,present
ENSG00000013523,present
ENSG00000013561,present
ENSG00000013563,present
ENSG00000013573,present
ENSG00000013583,present
ENSG00000013588,present
ENSG00000013619,present
ENSG00000013725,present
ENSG00000013810,present
ENSG00000014123,present
ENSG00000014138,present
ENSG00000014164,present
ENSG00000014216,present
ENSG00000014257,present
ENSG00000014641,present
ENSG00000014824,present
ENSG00000014914,present
ENSG00000014919,present
ENSG00000015133,present
ENSG00000015153,present
ENSG00000015171,present
ENSG00000015285,present
ENSG00000015413,present
ENSG00000015475,present
ENSG00000015479,present
ENSG00000015520,present
ENSG00000015532,present
ENSG00000015568,present
ENSG00000015592,present
ENSG00000015676,present
ENSG00000016082,present
ENSG00000016391,present
ENSG00000016402,present
ENSG00000016490,present
ENSG00000016602,present
ENSG00000016864,present
ENSG00000017260,present
ENSG00000017427,present
ENSG00000017483,present
ENSG00000017797,present
ENSG00000018189,present
ENSG00000018236,present
ENSG00000018280,present
ENSG00000018408,present
ENSG00000018510,present
ENSG00000018607,absent
ENSG00000018610,present
ENSG00000018625,present
ENSG00000018699,present
ENSG00000018869,present
ENSG00000019102,present
ENSG00000019144,present
ENSG00000019169,present
