Library ID,Anatomical entity name,Read count
ERX4030549,heart,14287277.042678975
ERX4030545,brain,12667533.724253062
ERX4030546,eye,15138826.345602026
ERX4030547,digestive tract,15501781.76677495
ERX4030552,skin of body,14434958.57231394
ERX4030536,liver,13229006.485817026
ERX4030550,liver,22212205.862009052
ERX4030531,liver,15842153.921824977
ERX4030532,liver,15297874.188726006
ERX4030551,muscle tissue,15142146.111797018
ERX4030548,gill,16011430.470935026
